Timestamp,People_Crossing,People_In_Crosswalk_Now,Avg_People_Velocity_Crossing_pixels/sec,People_Waiting,People_In_Waiting_Now,Avg_People_Velocity_Waiting_pixels/sec,Vehicles,Avg_Vehicle_Velocity_pixels/sec,Queued_Vehicles,Label
24:13.6,5,5,0,5,5,0,4,0,0,green
24:18.8,5,5,22.35729203,5,5,22.35729203,3,87.46031187,0,green
24:18.9,5,5,14.85954524,5,5,14.85954524,3,44.65342393,0,green
24:19.0,5,5,15.09053061,5,5,15.09053061,4,37.06691901,1,green
24:19.1,4,4,50.50716802,4,4,50.50716802,4,52.2066898,0,green
24:19.2,3,3,36.17754071,3,3,36.17754071,3,88.8671854,0,green
24:19.3,4,4,59.59999648,4,4,59.59999648,3,95.51328001,0,green
24:19.3,5,5,29.55460674,5,5,29.55460674,3,104.5648375,0,green
24:19.4,5,5,10.84220874,5,5,10.84220874,3,74.11177243,0,green
24:19.4,5,5,14.84335023,5,5,14.84335023,3,82.20601086,0,green
24:19.5,5,5,19.88277954,5,5,19.88277954,3,147.5737088,0,green
24:19.6,4,4,21.37766869,4,4,21.37766869,3,93.79144635,0,green
24:19.6,4,4,7.553934835,4,4,7.553934835,3,85.85511951,0,green
24:19.7,4,4,13.39128609,4,4,13.39128609,4,84.11787166,0,green
24:19.8,4,4,17.72455268,4,4,17.72455268,3,89.79757108,0,green
24:19.8,4,4,20.43047353,4,4,20.43047353,3,92.59013081,0,green
24:19.9,4,4,21.25450481,4,4,21.25450481,4,94.70001513,0,green
24:20.0,4,4,15.68077613,4,4,15.68077613,4,222.1617824,0,green
24:20.0,4,4,15.7640108,4,4,15.7640108,3,190.8801184,0,green
24:20.1,4,4,23.9282601,4,4,23.9282601,3,119.335711,0,green
24:20.2,4,4,10.20332552,4,4,10.20332552,3,142.4239315,0,green
24:20.3,4,4,11.21273298,4,4,11.21273298,3,118.0569536,0,green
24:20.3,4,4,11.24139625,4,4,11.24139625,4,107.3665246,0,green
24:20.4,4,4,10.83237442,4,4,10.83237442,3,148.0431102,0,green
24:20.5,4,4,15.2834406,4,4,15.2834406,3,141.3737171,0,green
24:20.5,4,4,23.04482362,4,4,23.04482362,3,85.83788728,0,green
24:20.6,4,4,33.24719042,4,4,33.24719042,3,139.6841919,0,green
24:20.6,4,4,37.89254939,4,4,37.89254939,3,258.148698,0,green
24:20.7,4,4,66.62337492,4,4,66.62337492,3,194.2126806,0,green
24:20.8,4,4,48.04509112,4,4,48.04509112,3,135.7819171,0,green
24:20.9,4,4,27.82403015,4,4,27.82403015,4,264.3052304,0,green
24:20.9,4,4,37.39588933,4,4,37.39588933,4,346.3613731,0,green
24:21.0,4,4,45.2144023,4,4,45.2144023,4,220.9400441,0,green
24:21.1,3,3,37.54805191,3,3,37.54805191,4,386.9516824,0,green
24:21.1,3,3,33.34432297,3,3,33.34432297,4,288.2583903,0,green
24:21.2,3,3,31.75467503,3,3,31.75467503,4,268.895553,0,green
24:21.2,3,3,36.58419136,3,3,36.58419136,3,159.4827347,0,green
24:21.3,3,3,59.56870615,3,3,59.56870615,4,155.2489849,0,green
24:21.4,3,3,29.94504261,3,3,29.94504261,3,132.163844,0,green
24:21.5,4,4,24.10128679,4,4,24.10128679,3,94.59251499,0,green
24:21.6,4,4,151.9344775,4,4,151.9344775,3,97.16176214,0,green
24:21.7,4,4,161.7851268,4,4,161.7851268,4,140.5964855,0,green
24:21.8,4,4,168.7330861,4,4,168.7330861,4,119.3841683,0,green
24:21.9,5,5,183.0944964,5,5,183.0944964,4,186.3523645,0,green
24:22.0,5,5,189.5675084,5,5,189.5675084,4,201.8887767,0,green
24:22.1,6,6,197.473431,6,6,197.473431,4,226.8939711,0,green
24:22.2,6,6,199.5885527,6,6,199.5885527,4,276.7140565,0,green
24:22.2,5,5,141.0039781,5,5,141.0039781,5,250.7131818,0,green
24:22.4,4,4,47.01997145,4,4,47.01997145,5,209.0277449,0,green
24:22.4,5,5,53.86052972,5,5,53.86052972,6,255.3054584,0,green
24:22.5,4,4,181.0852257,4,4,181.0852257,7,291.1237688,0,green
24:22.6,5,5,93.02441118,5,5,93.02441118,5,132.7621132,0,green
24:22.7,5,5,202.8403333,5,5,202.8403333,5,145.6825849,0,green
24:22.8,5,5,126.0485289,5,5,126.0485289,5,166.0548826,0,green
24:22.9,4,4,28.64186557,4,4,28.64186557,5,102.8325647,0,green
24:22.9,4,4,39.39969597,4,4,39.39969597,5,141.9560908,0,green
24:23.0,4,4,90.645938,4,4,90.645938,4,137.1725016,0,green
24:23.1,4,4,116.0330638,4,4,116.0330638,3,142.1913207,0,green
24:23.2,4,4,31.31877409,4,4,31.31877409,3,144.1758064,0,green
24:23.3,5,5,37.82259624,5,5,37.82259624,3,130.355531,0,green
24:23.4,5,5,48.1358627,5,5,48.1358627,3,123.6704532,0,green
24:23.5,5,5,52.43383721,5,5,52.43383721,3,144.9271847,0,green
24:23.5,5,5,116.9536532,5,5,116.9536532,3,166.5693177,0,green
24:23.6,7,7,60.56483373,7,7,60.56483373,3,155.0249755,0,green
24:23.7,7,7,132.0422396,7,7,132.0422396,3,177.089007,0,green
24:23.8,6,6,93.7745441,6,6,93.7745441,3,199.9999605,0,green
24:23.9,5,5,92.3259794,5,5,92.3259794,3,220.2490812,0,green
24:24.0,5,5,100.6407575,5,5,100.6407575,3,241.5580441,0,green
24:24.1,4,4,32.88649982,4,4,32.88649982,3,259.1592051,0,green
24:24.2,4,4,28.43278342,4,4,28.43278342,2,201.5769763,0,green
24:24.3,4,4,24.85855606,4,4,24.85855606,2,99.78451776,0,green
24:24.4,4,4,22.94344765,4,4,22.94344765,2,77.57009127,0,green
24:24.5,4,4,20.00435087,4,4,20.00435087,2,68.09430255,0,green
24:24.6,4,4,26.04694222,4,4,26.04694222,3,69.96215566,0,green
24:24.7,5,5,56.40825075,5,5,56.40825075,3,77.27704639,0,green
24:24.8,6,6,56.95905377,6,6,56.95905377,2,126.5067626,0,green
24:24.9,5,5,17.81377356,5,5,17.81377356,2,164.3703603,0,green
24:25.0,5,5,19.34824634,5,5,19.34824634,2,152.6197668,0,green
24:25.1,5,5,36.60560211,5,5,36.60560211,2,120.6379102,0,green
24:25.2,5,5,33.73424023,5,5,33.73424023,2,61.74343893,0,green
24:25.3,5,5,43.51232567,5,5,43.51232567,2,56.73586839,0,green
24:25.4,4,4,20.71007046,4,4,20.71007046,2,30.41475078,0,green
24:25.5,5,5,31.10533089,5,5,31.10533089,2,58.86519066,0,green
24:25.6,5,5,65.51701995,5,5,65.51701995,3,42.058565,0,green
24:25.7,5,5,40.16064138,5,5,40.16064138,3,35.11294184,0,green
24:25.8,5,5,60.21031491,5,5,60.21031491,3,70.24154146,0,green
24:25.9,5,5,54.31031615,5,5,54.31031615,4,46.1738016,0,green
24:26.1,5,5,28.20016465,5,5,28.20016465,4,90.47965361,0,green
24:26.1,5,5,42.84191968,5,5,42.84191968,3,80.07274953,0,green
24:26.2,4,4,31.88006647,4,4,31.88006647,3,70.7401801,0,green
24:26.4,4,4,38.13401025,4,4,38.13401025,1,53.96155874,0,green
24:26.5,4,4,33.07049147,4,4,33.07049147,2,51.44779153,0,green
24:26.6,4,4,28.55246898,4,4,28.55246898,2,41.27484398,0,green
24:26.6,4,4,45.86619824,4,4,45.86619824,4,43.76609583,0,green
24:26.7,4,4,47.75587467,4,4,47.75587467,4,60.30899792,0,green
24:26.8,4,4,48.18113674,4,4,48.18113674,3,58.52378715,0,green
24:26.9,4,4,55.81339369,4,4,55.81339369,3,69.20157208,0,green
24:27.0,4,4,67.34516161,4,4,67.34516161,3,67.66195982,0,green
24:27.1,4,4,58.38716422,4,4,58.38716422,3,61.62773329,0,green
24:27.2,4,4,56.57196272,4,4,56.57196272,4,51.3295587,0,green
24:27.3,4,4,59.15350886,4,4,59.15350886,4,64.26236872,0,green
24:27.4,5,5,55.26353973,5,5,55.26353973,4,52.44809153,0,green
24:27.5,5,5,65.45428235,5,5,65.45428235,4,57.17402432,0,green
24:27.6,5,5,47.96651151,5,5,47.96651151,4,36.52137982,0,green
24:27.7,5,5,70.33907202,5,5,70.33907202,4,52.07478506,0,green
24:27.8,5,5,39.76282908,5,5,39.76282908,5,46.9073015,0,green
24:27.8,5,5,40.73460868,5,5,40.73460868,4,73.36575857,0,green
24:27.9,4,4,32.47954033,4,4,32.47954033,5,54.59816565,0,green
24:28.0,3,3,47.16332944,3,3,47.16332944,5,46.47667254,0,green
24:28.1,3,3,51.89929722,3,3,51.89929722,6,40.32505777,0,green
24:28.2,3,3,41.82406675,3,3,41.82406675,6,45.97893377,0,green
24:28.3,4,4,38.83364299,4,4,38.83364299,4,55.02480958,0,green
24:28.4,4,4,53.29912672,4,4,53.29912672,5,61.52084469,0,green
24:28.4,4,4,49.33836406,4,4,49.33836406,6,76.56704913,0,green
24:28.5,4,4,63.43117762,4,4,63.43117762,7,88.01125836,0,green
24:28.6,4,4,63.55651633,4,4,63.55651633,7,97.48623097,0,green
24:28.8,4,4,45.71043258,4,4,45.71043258,6,99.70116343,0,green
24:28.8,5,5,55.59636371,5,5,55.59636371,7,94.06977483,0,green
24:28.9,5,5,41.3650906,5,5,41.3650906,6,94.92625998,0,green
24:29.0,4,4,51.10190477,4,4,51.10190477,8,74.25147699,0,green
24:29.1,4,4,57.36154807,4,4,57.36154807,6,92.54885618,0,green
24:29.2,4,4,50.40965184,4,4,50.40965184,6,89.86151548,0,green
24:29.3,4,4,56.95328931,4,4,56.95328931,7,87.33477391,0,green
24:29.4,4,4,55.08846968,4,4,55.08846968,7,66.5806595,0,green
24:29.5,4,4,54.2145992,4,4,54.2145992,6,79.94700037,0,green
24:29.6,4,4,52.16650432,4,4,52.16650432,7,72.85026933,0,green
24:29.7,4,4,57.43550679,4,4,57.43550679,7,89.06424921,0,green
24:29.8,4,4,57.669832,4,4,57.669832,7,94.59717972,0,green
24:29.9,4,4,88.01237129,4,4,88.01237129,7,110.0486697,0,green
24:30.0,4,4,63.67360129,4,4,63.67360129,6,89.82560977,0,green
24:30.1,4,4,75.54211362,4,4,75.54211362,6,93.45968105,0,green
24:30.2,4,4,72.41226783,4,4,72.41226783,5,140.4301263,0,green
24:30.3,4,4,71.89842062,4,4,71.89842062,5,133.4962103,0,green
24:30.4,4,4,64.66332973,4,4,64.66332973,5,138.0290633,0,green
24:30.5,4,4,56.46573375,4,4,56.46573375,4,86.03469825,0,green
24:30.5,4,4,73.88821192,4,4,73.88821192,5,105.3985622,0,green
24:30.6,4,4,67.56733966,4,4,67.56733966,5,122.07708,0,green
24:30.7,4,4,55.79467152,4,4,55.79467152,5,145.8608424,0,green
24:30.8,4,4,77.18608731,4,4,77.18608731,5,132.6281154,0,green
24:30.9,4,4,74.17661482,4,4,74.17661482,4,113.8991294,0,green
24:30.9,4,4,80.05776801,4,4,80.05776801,5,94.780057,0,green
24:31.0,4,4,78.11862203,4,4,78.11862203,5,100.0442146,0,green
24:31.1,3,3,100.3832004,3,3,100.3832004,5,87.67776412,0,green
24:31.2,3,3,102.7407073,3,3,102.7407073,5,100.4475933,0,green
24:31.2,3,3,108.7108771,3,3,108.7108771,5,89.03590615,0,green
24:31.3,3,3,98.23169694,3,3,98.23169694,6,83.41647376,0,green
24:31.4,3,3,108.1396847,3,3,108.1396847,6,86.15319739,0,green
24:31.4,4,4,81.02092831,4,4,81.02092831,6,118.2203449,0,green
24:31.5,5,5,131.6312032,5,5,131.6312032,6,114.196164,0,green
24:31.6,5,5,104.6824379,5,5,104.6824379,6,108.7504359,0,green
24:31.7,5,5,85.98530017,5,5,85.98530017,5,122.7378704,0,green
24:31.7,7,7,115.7850139,7,7,115.7850139,4,147.1405604,0,green
24:31.8,7,7,67.75164805,7,7,67.75164805,4,128.3307451,0,green
24:31.9,7,7,81.68154813,7,7,81.68154813,4,130.1100131,0,green
24:31.9,6,6,110.4079689,6,6,110.4079689,4,167.913698,0,green
24:32.0,5,5,120.0000452,5,5,120.0000452,4,219.2742187,0,green
24:32.1,6,6,121.5969536,6,6,121.5969536,4,188.123139,0,green
24:32.2,6,6,100.8435031,6,6,100.8435031,4,122.5847191,0,green
24:32.3,6,6,121.4614461,6,6,121.4614461,3,150.0191989,0,green
24:32.3,6,6,111.2048901,6,6,111.2048901,3,134.4050612,0,green
24:32.4,6,6,64.79420622,6,6,64.79420622,3,137.6406994,0,green
24:32.5,6,6,74.29447978,6,6,74.29447978,4,123.0447936,0,green
24:32.6,6,6,117.4033421,6,6,117.4033421,4,179.3614219,0,green
24:32.7,5,5,24.23866475,5,5,24.23866475,4,139.4568,0,green
24:32.7,4,4,16.52621449,4,4,16.52621449,4,136.9287756,0,green
24:32.8,4,4,19.43331258,4,4,19.43331258,4,219.3769703,0,green
24:32.9,3,3,10.08508301,3,3,10.08508301,3,129.6356921,0,green
24:33.0,3,3,11.79029295,3,3,11.79029295,3,59.31063941,0,green
24:33.0,3,3,6.300985698,3,3,6.300985698,3,44.11629096,0,green
24:33.1,3,3,25.49435948,3,3,25.49435948,3,122.0163914,0,green
24:33.2,3,3,29.8449965,3,3,29.8449965,3,138.9396068,0,green
24:33.2,3,3,13.07872976,3,3,13.07872976,3,156.1169453,0,green
24:33.3,3,3,14.62614075,3,3,14.62614075,5,102.876195,0,green
24:33.4,4,4,10.38741788,4,4,10.38741788,5,72.87014346,0,green
24:33.5,4,4,12.62942053,4,4,12.62942053,5,71.65959698,0,green
24:33.5,4,4,11.73365913,4,4,11.73365913,5,104.4638924,0,green
24:33.6,4,4,18.87199409,4,4,18.87199409,5,83.45612149,0,green
24:33.7,4,4,13.68972207,4,4,13.68972207,6,74.30407864,0,green
24:33.8,4,4,23.63569593,4,4,23.63569593,6,50.88218871,0,green
24:33.8,4,4,21.25996302,4,4,21.25996302,5,59.6992558,0,green
24:33.9,4,4,29.24380159,4,4,29.24380159,6,49.6373871,0,green
24:34.0,4,4,20.70169827,4,4,20.70169827,6,29.36005971,0,green
24:34.1,3,3,9.154367866,3,3,9.154367866,6,51.85220427,0,green
24:34.1,4,4,8.039593565,4,4,8.039593565,6,32.14048509,1,green
24:34.2,4,4,16.53763545,4,4,16.53763545,6,74.12848633,0,green
24:34.3,4,4,8.170891181,4,4,8.170891181,6,66.77385671,0,green
24:34.4,4,4,11.91447073,4,4,11.91447073,5,51.22291667,0,green
24:34.4,5,5,18.71451452,5,5,18.71451452,6,50.30027376,0,green
24:34.5,5,5,30.88741653,5,5,30.88741653,5,59.0521132,0,green
24:34.6,5,5,17.04468855,5,5,17.04468855,6,32.38254433,0,green
24:34.7,6,6,20.35807245,6,6,20.35807245,5,44.41506186,1,green
24:34.8,5,5,22.9413161,5,5,22.9413161,5,49.70174224,0,green
24:34.9,5,5,29.91689884,5,5,29.91689884,5,95.65724302,0,green
24:35.0,5,5,31.09318815,5,5,31.09318815,5,67.69289725,0,green
24:35.1,5,5,13.41373414,5,5,13.41373414,6,78.21193106,0,green
24:35.2,5,5,9.168718778,5,5,9.168718778,6,56.92851762,1,green
24:35.3,4,4,21.32930214,4,4,21.32930214,6,92.34041254,0,green
24:35.4,4,4,40.06388851,4,4,40.06388851,6,56.89258001,1,green
24:35.4,4,4,21.68155649,4,4,21.68155649,5,45.87214675,1,green
24:35.5,4,4,24.41125873,4,4,24.41125873,5,66.17690107,0,green
24:35.6,4,4,19.92521586,4,4,19.92521586,5,57.36520796,0,green
24:35.7,4,4,22.13686875,4,4,22.13686875,5,38.00176276,0,green
24:35.7,4,4,18.06164843,4,4,18.06164843,5,58.03307839,0,green
24:35.8,4,4,10.88094156,4,4,10.88094156,5,60.2947337,0,green
