Timestamp,People_Crossing,People_In_Crosswalk_Now,Avg_People_Velocity_Crossing_kmph,People_Waiting,People_In_Waiting_Now,Avg_People_Velocity_Waiting_kmph,Vehicles,Avg_Vehicle_Velocity_kmph,Queued_Vehicles,Label
57:57.7,3,3,0,3,3,0,6,0,0,red
58:01.4,3,3,18.02241335,3,3,18.02241335,6,134.6717046,0,red
58:01.5,3,3,10.9078013,3,3,10.9078013,6,135.0125824,0,red
58:01.6,3,3,10.91022381,3,3,10.91022381,6,153.4063931,1,red
58:01.7,3,3,6.756716289,3,3,6.756716289,6,159.5221559,0,red
58:01.8,3,3,15.07608458,3,3,15.07608458,6,172.4850747,0,red
58:01.9,3,3,6.663958154,3,3,6.663958154,6,185.9961334,0,red
58:02.0,3,3,16.65403974,3,3,16.65403974,6,219.1309257,0,red
58:02.1,3,3,5.594219329,3,3,5.594219329,6,227.7525527,1,red
58:02.1,3,3,13.59863755,3,3,13.59863755,6,151.8627188,0,red
58:02.2,3,3,17.7226975,3,3,17.7226975,6,105.5968949,0,red
58:02.3,3,3,20.67194388,3,3,20.67194388,5,122.7279922,0,red
58:02.4,3,3,21.91615754,3,3,21.91615754,5,128.1956496,0,red
58:02.5,3,3,19.31339347,3,3,19.31339347,5,119.686672,0,red
58:02.5,3,3,14.05167709,3,3,14.05167709,5,127.2004907,0,red
58:02.6,3,3,13.38799733,3,3,13.38799733,5,122.621548,1,red
58:02.6,3,3,15.63136603,3,3,15.63136603,5,118.2429615,2,red
58:02.7,3,3,10.31857363,3,3,10.31857363,6,142.302791,0,red
58:02.8,3,3,16.64951372,3,3,16.64951372,6,174.245379,0,red
58:02.9,3,3,14.08023332,3,3,14.08023332,6,213.6795241,0,red
58:02.9,3,3,9.465160253,3,3,9.465160253,6,102.673015,0,red
58:03.0,3,3,7.867996279,3,3,7.867996279,6,86.46980399,0,red
58:03.0,3,3,6.776185952,3,3,6.776185952,6,120.5530352,0,red
58:03.1,3,3,15.20765568,3,3,15.20765568,6,99.56972566,0,red
58:03.2,3,3,16.65547153,3,3,16.65547153,6,104.4232685,0,red
58:03.2,3,3,13.17944389,3,3,13.17944389,8,111.8855629,0,red
58:03.3,3,3,12.80963093,3,3,12.80963093,7,76.26910524,0,red
58:03.4,4,4,27.56770212,4,4,27.56770212,7,108.2740814,0,red
58:03.4,4,4,40.53847302,4,4,40.53847302,7,117.8404324,1,red
58:03.5,3,3,28.60622248,3,3,28.60622248,8,115.3928427,0,red
58:03.6,4,4,26.76653619,4,4,26.76653619,8,144.2589176,0,red
58:03.7,4,4,27.09534479,4,4,27.09534479,8,108.0519235,0,red
58:03.7,4,4,22.98343626,4,4,22.98343626,8,117.2094341,0,red
